Date,High,Low,Open,Close
2010-01-19,1005181.7822265625,994325.9497070312,1005181.7822265625,995753.2861328125
2010-01-20,1004635.99609375,992022.75390625,1002229.189453125,993220.556640625
2010-01-21,1007014.1674804688,985110.185546875,990193.0786132812,1005327.939453125
2010-01-22,996046.50390625,973870.5322265625,993469.4213867188,979625.8569335938
2010-01-25,976581.6674804688,963348.6572265625,969243.6352539062,972423.8647460938
2010-01-26,977400.3466796875,955060.693359375,971818.9111328125,955088.4252929688
2010-01-27,959578.37890625,948317.4072265625,956826.50390625,948317.4072265625
2010-01-28,967799.7680664062,952470.693359375,953650.068359375,963321.8286132812
2010-01-29,955004.2358398438,943318.7036132812,953494.6069335938,943318.7036132812
2010-02-01,945796.7822265625,937016.689453125,944643.3325195312,943964.306640625
2010-02-02,961674.443359375,951615.9716796875,953765.693359375,959325.810546875
2010-02-03,965378.056640625,957932.8002929688,964601.1108398438,962400.5322265625
2010-02-04,965552.939453125,950860.25390625,965193.056640625,957928.193359375
2010-02-05,940382.7319335938,928360.5322265625,940016.435546875,930280.810546875
2010-02-08,930876.5502929688,919639.6069335938,925690.9497070312,920543.37890625
2010-02-09,921003.0786132812,912733.5424804688,913586.4575195312,918793.2861328125
2010-02-10,929612.9858398438,921669.0966796875,927244.0283203125,921669.0966796875
2010-02-12,934200.0463867188,926341.25,932894.8388671875,933527.6147460938
2010-02-15,936050.9497070312,926159.0502929688,934048.37890625,926230.2319335938
2010-02-16,930759.931640625,926797.24609375,929119.0502929688,928168.125
2010-02-17,953381.7822265625,938897.2216796875,939959.0747070312,953381.7822265625
2010-02-18,956485.1391601562,951367.1069335938,955060.693359375,956051.3647460938
2010-02-19,957783.8427734375,936431.1572265625,955932.0361328125,936431.1572265625
2010-02-22,966601.875,952578.9111328125,952941.50390625,962043.4497070312
2010-02-23,959738.3569335938,950930.5322265625,955306.6674804688,957569.2138671875
2010-02-24,947496.0180664062,936992.6611328125,943976.4111328125,943391.7822265625
2010-02-25,949737.24609375,933066.9213867188,948689.2138671875,934431.2963867188
2010-02-26,940837.8247070312,932874.5141601562,934904.9072265625,936657.8002929688
2010-03-01,944901.4111328125,935809.5825195312,936907.568359375,940915.5102539062
2010-03-02,947103.7963867188,938902.7319335938,943425.1147460938,945520.185546875
2010-03-03,950353.310546875,942267.87109375,942940.3930664062,948415.4174804688
2010-03-04,949371.943359375,937429.2358398438,948651.3647460938,938479.0747070312
2010-03-05,959817.939453125,948551.4575195312,948551.4575195312,959128.7963867188
2010-03-08,979294.6997070312,972570.9252929688,974776.1108398438,979197.5927734375
2010-03-09,979877.431640625,975209.8852539062,977477.12890625,977507.6611328125
2010-03-10,979453.8647460938,975628.935546875,976416.0888671875,977162.5927734375
2010-03-11,986507.8930664062,979469.5825195312,983089.0966796875,986507.8930664062
2010-03-12,996917.8466796875,989685.2319335938,996917.8466796875,994491.5283203125
2010-03-15,999817.685546875,990579.6997070312,999195.2075195312,994558.193359375
2010-03-16,996828.056640625,991248.5180664062,991473.2641601562,991758.1713867188
2010-03-17,1004947.7319335938,995474.7924804688,998004.7216796875,1003345.693359375
2010-03-18,1003230.068359375,992678.564453125,1002858.1713867188,993822.8002929688
2010-03-19,1001475.2783203125,996740.25390625,997693.8891601562,1001286.5747070312
2010-03-23,1000644.6752929688,995915.1611328125,998357.1069335938,996608.9111328125
2010-03-24,1006457.3608398438,996149.12109375,1001715.8325195312,1000390.3002929688
2010-03-25,1005701.6430664062,999805.6713867188,1004347.3852539062,1001668.5888671875
2010-03-26,1017647.060546875,1007263.0322265625,1007814.3286132812,1017164.2358398438
2010-03-29,1016644.375,1008361.0180664062,1009173.193359375,1016248.4497070312
2010-03-30,1027565.87890625,1017809.8388671875,1019553.5180664062,1026485.4174804688
2010-03-31,1031154.8608398438,1025413.3569335938,1030331.5747070312,1025819.4897460938
2010-04-01,1042727.568359375,1028431.62109375,1034050.0927734375,1040107.0361328125
2010-04-02,1046543.193359375,1039328.193359375,1042861.62109375,1043963.310546875
2010-04-05,1055255.7177734375,1045862.3608398438,1052708.2641601562,1048885.2319335938
2010-04-06,1050656.6430664062,1037595.625,1049939.7680664062,1043614.62890625
2010-04-07,1049927.75390625,1041588.8427734375,1044908.6352539062,1044586.7822265625
2010-04-08,1038993.3325195312,1032249.1430664062,1034119.4677734375,1033058.5180664062
2010-04-09,1036450.4858398438,1031263.9819335938,1033652.3608398438,1036401.435546875
2010-04-12,1050018.3569335938,1040492.75390625,1045323.0786132812,1040800.7861328125
2010-04-13,1037170.1611328125,1025684.443359375,1036270.0927734375,1032413.818359375
2010-04-14,1042493.5180664062,1032393.4033203125,1037245.0463867188,1036453.2861328125
2010-04-15,1046791.064453125,1041161.4819335938,1046181.50390625,1042825.5786132812
2010-04-16,1038824.0502929688,1025336.5747070312,1038824.0502929688,1026951.62109375
2010-04-19,1013235.7861328125,1006306.5966796875,1010991.6674804688,1009061.181640625
2010-04-20,1017460.25390625,1007400.87890625,1013810.2075195312,1008312.87109375
2010-04-21,1026130.2319335938,1019708.8891601562,1020440.5786132812,1025829.6069335938
2010-04-22,1016539.8608398438,1005126.318359375,1016390.9033203125,1012790.810546875
2010-04-23,1014458.6108398438,1005097.5927734375,1011108.2861328125,1009587.5463867188
2010-04-26,1032835.5786132812,1020798.564453125,1021162.060546875,1032835.5786132812
2010-04-27,1037244.1430664062,1027556.5747070312,1027606.5283203125,1037171.064453125
2010-04-28,1018321.3891601562,1006622.0361328125,1018009.6533203125,1010543.0786132812
2010-04-30,1026058.056640625,1020762.431640625,1023246.1108398438,1022809.5361328125
2010-05-06,1003430.7861328125,988141.4575195312,1003430.7861328125,989351.3647460938
2010-05-07,968731.181640625,948802.12890625,968724.7680664062,958724.560546875
2010-05-10,974998.056640625,958516.435546875,961912.1069335938,974089.7680664062
2010-05-11,984503.4252929688,961303.4497070312,984499.7216796875,963026.7138671875
2010-05-12,971409.0747070312,956930.1147460938,968015.3002929688,961447.8002929688
2010-05-13,984036.318359375,974574.4897460938,975206.181640625,982400.8569335938
2010-05-14,976031.3647460938,961146.181640625,966939.5361328125,967782.1533203125
2010-05-17,955697.9858398438,939642.7319335938,955466.7358398438,946807.7783203125
2010-05-18,956129.0502929688,943290.9716796875,953965.4174804688,947444.1674804688
2010-05-19,942282.685546875,928878.49609375,933078.0322265625,942282.685546875
2010-05-20,939957.2680664062,924962.060546875,936271.0888671875,927803.6352539062
2010-05-21,909215.8325195312,896938.2641601562,908705.185546875,905069.9536132812
2010-05-24,905895.0463867188,896609.00390625,902336.5966796875,902652.0361328125
2010-05-25,891940.4638671875,872468.310546875,890972.9174804688,875039.7924804688
2010-05-26,890072.0361328125,876664.1430664062,884979.8388671875,880846.064453125
2010-05-27,891899.814453125,869064.3286132812,871285.2319335938,891674.0747070312
2010-05-28,908798.5888671875,897170.4174804688,907060.5102539062,903075.693359375
2010-05-31,909435.068359375,899878.8427734375,900530.9497070312,903604.7680664062
2010-06-01,901621.5283203125,893405.7397460938,901621.5283203125,898344.2822265625
2010-06-02,903115.439453125,884314.814453125,888411.6430664062,888299.7216796875
2010-06-03,917616.62109375,902690.87890625,902690.87890625,917062.6147460938
2010-06-04,921523.8427734375,912798.310546875,916604.7216796875,915860.1147460938
2010-06-07,898583.8427734375,878992.3608398438,897745.8325195312,880673.9819335938
2010-06-08,886857.6611328125,872719.8852539062,874013.0786132812,882259.4897460938
2010-06-09,877631.689453125,867486.318359375,876490.25390625,873119.5141601562
2010-06-10,882823.7036132812,872965.9497070312,876602.1752929688,882695.1611328125
2010-06-11,903237.568359375,894807.9638671875,897372.12890625,897735.625
2010-06-14,914089.6069335938,908345.3930664062,908805.99609375,913886.0888671875
2010-06-15,916835.068359375,908945.7397460938,910722.6611328125,914629.7924804688
2010-06-16,935162.0825195312,928074.7216796875,928986.7138671875,931211.4111328125
2010-06-17,929944.1430664062,924001.9213867188,925855.625,924944.5361328125
2010-06-18,927692.7075195312,921777.314453125,927588.193359375,924539.306640625
2010-06-21,948300.7861328125,935107.431640625,935107.431640625,947015.9033203125
2010-06-22,942009.7924804688,934756.943359375,937201.689453125,935442.2924804688
2010-06-23,922688.4033203125,916933.9819335938,922502.5,917942.2680664062
2010-06-24,925866.7358398438,915171.875,915992.3608398438,918371.435546875
2010-06-25,906035.693359375,897052.9858398438,904529.7680664062,900716.943359375
2010-06-28,903006.318359375,895323.2177734375,902699.189453125,896689.4897460938
2010-06-29,902801.806640625,883280.693359375,898952.0361328125,885286.9677734375
2010-06-30,871362.9174804688,864604.00390625,869171.6430664062,867894.1674804688
2010-07-01,860014.1430664062,846160.37109375,859959.5825195312,850222.9638671875
2010-07-02,856470.4174804688,847343.4497070312,854196.7602539062,851343.1713867188
2010-07-05,858668.2861328125,852275.5786132812,853775.0,857177.1752929688
2010-07-06,864977.7075195312,840982.2680664062,847140.9252929688,863768.7036132812
2010-07-07,862991.6674804688,853201.4819335938,862336.7602539062,858367.6611328125
2010-07-08,883004.0966796875,874697.6147460938,875310.87890625,882055.9716796875
2010-07-09,888979.560546875,880319.6997070312,888149.8608398438,886642.12890625
2010-07-12,891042.2924804688,881854.2602539062,882493.4497070312,883200.2075195312
2010-07-13,890773.193359375,878957.2216796875,887340.4858398438,882193.818359375
2010-07-14,907180.8325195312,896633.0322265625,897943.75,906059.7216796875
2010-07-15,899741.9897460938,894197.5,897355.4174804688,895911.5502929688
2010-07-16,891407.685546875,868779.4213867188,888081.3891601562,870273.3325195312
2010-07-21,869876.50390625,853852.685546875,869876.50390625,858291.7822265625
2010-07-22,856012.6147460938,848791.1108398438,852505.9252929688,852931.3891601562
2010-07-23,876355.2075195312,866475.2319335938,867661.1108398438,872363.7963867188
2010-07-26,884468.37890625,878158.9575195312,880667.568359375,879088.564453125
2010-07-27,882597.060546875,877607.6611328125,879921.9677734375,878458.5888671875
2010-07-28,902828.6352539062,889338.4497070312,889338.4497070312,902177.431640625
